filename	Score	nwords	av_freq	mattr	pos_prop	neg_prop
file00913.txt	3	540	6.463006659	0.597800407	0.02962963	0.007407407
file00907.txt	5	1150	6.901560673	0.703832879	0.042608696	0.010434783
file00091.txt	4	512	6.393751295	0.61637149	0.037109375	0.00390625
file00085.txt	4	691	6.962730045	0.615482866	0.053545586	0.001447178
file00708.txt	5	993	7.028782962	0.672224576	0.034239678	0.012084592
file00052.txt	6	897	7.025707398	0.681863208	0.028985507	0.011148272
file00734.txt	3	440	6.716539275	0.683580563	0.047727273	0.002272727
file00720.txt	4	501	6.615718806	0.697787611	0.023952096	0.011976048
file00046.txt	6	1222	7.212384726	0.633878943	0.022094926	0.017184943
file00293.txt	4	939	7.053271849	0.637640449	0.027689031	0.012779553
file01199.txt	4	775	6.548004407	0.630798898	0.036129032	0.019354839
file00287.txt	9	1666	7.083569496	0.762251082	0.042617047	0.021608643
file01172.txt	4	681	6.896410436	0.649683544	0.052863436	0.005873715
file00278.txt	5	1108	6.950095097	0.697299339	0.042418773	0.016245487
file01166.txt	5	751	7.014522423	0.641908832	0.019973369	0.00665779
file00536.txt	4	1069	6.749003113	0.566352941	0.045837231	0.026192703
file00250.txt	8	1168	7.009058164	0.730116175	0.030821918	0.016267123
file00244.txt	6	1332	7.047913425	0.69381138	0.051801802	0.025525526
file00522.txt	5	1024	6.992445466	0.640779487	0.060546875	0.005859375
file00481.txt	3	552	6.651738266	0.670854871	0.059782609	0.012681159
file00495.txt	5	1279	6.735763958	0.631284553	0.054730258	0.033620016
file01006.txt	5	938	6.978349658	0.641619798	0.023454158	0.00533049
file00318.txt	7	1337	7.177801311	0.70234472	0.038893044	0.011967091
file01012.txt	4	560	6.90853597	0.660508806	0.026785714	0.007142857
file00442.txt	7	1037	6.969765828	0.728562753	0.040501446	0.012536162
file00324.txt	6	877	7.09601966	0.700048309	0.033067275	0.017103763
file00330.txt	7	1137	6.838517823	0.723327206	0.024626209	0.016710642
file00456.txt	4	697	6.94682663	0.63308642	0.027259684	0.005738881
file00867.txt	3	672	6.655833582	0.684783307	0.052083333	0.007440476
file00873.txt	8	1109	7.157519015	0.693207547	0.032461677	0.014427412
file00683.txt	4	692	6.754266038	0.7081493	0.030346821	0.007225434
file00697.txt	6	1569	6.841124345	0.698078947	0.037603569	0.01848311
